"date","year","doy","zona","LAI","P30","P60","T2m_C","GDA","SM_sup","SM_root","Rad7","Rad30","LAI_max_zy","LAI_norm","LAI_hayedo","LAI_hayedo_norm","LAI_hayedo_anom","GDA2","LAI_norm_clim_A","LAI_norm_res_A","LAI_clim_A","LAI_res_A"
2021-08-11,2021,222,"pasto_cercano",1.54351429032952,52.2627352209102,205.365967992163,20.6618938430051,1148.83099678488,0.307414140841246,0.302637561062347,19.4156088203055,599.12708145283,2.70344148531336,0.570944220067192,3.47881120147786,0.795114229723349,-0.00699832701737635,1319812.65917373,0.793299782522782,-0.222355562455591,2.14463954236215,-0.601125252032629
2021-08-26,2021,237,"pasto_cercano",1.36554820047731,41.9797886258941,84.1292106318153,19.1369856652474,1340.76485258938,0.229100997093089,0.247521439938175,19.451253769991,558.966865257862,2.70344148531336,0.505114761275858,3.37091378608727,0.770453285119346,0.0190178199554515,1797650.38993903,0.684093152731547,-0.17897839145569,1.84940580891327,-0.483857608435965
2021-08-31,2021,242,"pasto_cercano",1.22746214211901,32.5400795195924,81.9704110164038,17.4801304079452,1398.34040221289,0.205783572086998,0.22877715168759,21.0726860422282,583.066843427673,2.70344148531336,0.454036881799473,3.18164864899052,0.727195000900808,-0.0078850960804846,1955355.8804609,0.649579418748868,-0.195542536949395,1.75609994865143,-0.528637806532416
2021-09-05,2021,247,"pasto_cercano",1.2981262272258,52.028302147366,108.171331836913,22.3270637048366,1465.19950126712,0.328721844175327,0.326014176854547,16.2282250260557,555.700483937107,2.70344148531336,0.480175448323172,3.18655136960955,0.728315562697001,0.0100999568682819,2146809.57851343,0.577187197507346,-0.0970117491841745,1.56039181453311,-0.262265587307312
2021-09-30,2021,272,"pasto_cercano",1.1884483505189,113.394356345653,145.934435865246,13.4085954814088,1765.09581055392,0.35844423386036,0.353761022695705,12.9129348632075,403.36823419942,2.70344148531336,0.439605723658245,2.57741552786778,0.58909197522619,-0.0238019203629943,3115563.22043499,0.536822949589642,-0.0972172259313973,1.45126943218892,-0.262821081670021
2022-05-28,2022,147,"pasto_cercano",1.94537899828243,42.0025553359317,NA,14.4339207327341,401.460907405479,0.304889517010383,0.305546853527333,16.4342612955975,604.600928924528,2.20293757790762,0.883084031881729,4.5290228389207,0.966995252245542,0.0505542641353064,161170.86017483,NA,NA,NA,NA
2022-06-12,2022,162,"pasto_cercano",2.20293757790762,45.8287947897484,157.086627043884,18.5246182031852,573.127208780894,0.276544810840919,0.276715445068647,20.6343352003594,643.787639641509,2.20293757790762,1,4.68360400777922,1,0.0221319727022183,328474.797444978,0.946768107316343,0.0532318926836567,2.08567104117164,0.117266536735973
2022-07-02,2022,182,"pasto_cercano",1.28366704587213,99.443535503101,133.849101825983,18.3536081917881,834.193973688411,0.343565105142333,0.347674774173921,18.4028849757412,611.154895962264,2.20293757790762,0.582706953998841,4.38187329140923,0.935577235848967,-0.0237655386811165,695879.585738062,0.799159395905084,-0.216452441906243,1.76049826397726,-0.476831218105128
2022-07-12,2022,192,"pasto_cercano",1.29742706086491,97.2104799666246,143.039274756373,23.7152999046214,964.931712291728,0.287137497396089,0.304434688836024,25.0639110395328,635.172333113208,2.20293757790762,0.588953165934562,4.29323015291088,0.916650969163928,-0.00733452789435141,931093.209386245,0.780199214358613,-0.191246048424051,1.71873016756459,-0.421303106699681
2022-07-17,2022,197,"pasto_cercano",1.07982629317766,94.6730826469424,134.284764383935,27.9327968005615,1066.53148407526,0.225960069732346,0.255301593484619,29.2432606648697,657.088979811321,2.20293757790762,0.49017562004789,4.14355860421527,0.884694478297704,-0.0187660195837999,1137489.40652379,0.807755080878959,-0.317579460831068,1.77943402141406,-0.6996077282364
2022-08-06,2022,217,"pasto_cercano",0.769505783165317,10.1569634092095,114.003684177712,20.5367907941966,1361.94502868413,0.181018533446754,0.195065968691428,21.5172608014376,714.980534276729,2.20293757790762,0.349308936795298,3.47804466245623,0.742600069664169,-0.0781393928058693,1854894.26115741,0.623779996341213,-0.274471059545916,1.37414839428713,-0.604642611121816
2022-08-16,2022,227,"pasto_cercano",0.682397799556977,22.7135186186112,117.386601265554,18.6389398138978,1532.99081251277,0.211411768035569,0.192099480758923,20.2907046460018,648.750628446541,2.20293757790762,0.309767197400631,3.68637487393652,0.787080818065243,0.00254748633301838,2350060.83124855,0.566079395241292,-0.256312197840661,1.24703757185626,-0.564639772299282
2022-09-05,2022,247,"pasto_cercano",0.736274738961185,77.2642494189065,87.421212828116,21.6994608577193,1818.03595984277,0.277491795441889,0.278892537582845,17.0405333495058,553.725239018868,2.20293757790762,0.334224058976973,3.18804699427877,0.680682437922504,-0.0375331679062152,3305254.75128143,0.49595916045396,-0.161735101476986,1.09256707167154,-0.356292332710355
