"date","LAI_hayedo","n_zonas_hayedo","year","doy","LAI_hayedo_max","LAI_hayedo_norm","LAI_hayedo_norm_pheno","LAI_hayedo_anom"
2019-10-26,2.22011279734617,3,2019,298,4.83197222730068,0.45946307075246,0.463134079620169,-0.00367100886770882
2020-05-18,3.91888888638914,3,2020,138,4.0377086847113,0.970572468793484,0.842958957391382,0.127613511402101
2020-05-28,4.0377086847113,3,2020,148,4.0377086847113,1,0.922919848231704,0.0770801517682959
2020-06-22,3.63764892936418,3,2020,173,4.0377086847113,0.900919113639392,0.978952320245574,-0.0780332066061823
2020-06-27,3.75542770625005,2,2020,178,4.0377086847113,0.930088820045363,0.969888663875816,-0.0397998438304529
2020-07-22,3.12483571435265,3,2020,203,4.0377086847113,0.773913117155969,0.877989875818764,-0.104076758662796
2020-07-27,3.18382506509746,3,2020,208,4.0377086847113,0.788522727544199,0.856879607449862,-0.0683568799056635
2020-08-06,2.93278455942935,3,2020,218,4.0377086847113,0.726348726081769,0.816925886650421,-0.0905771605686517
2020-08-16,2.73549107064085,3,2020,228,4.0377086847113,0.677485991250119,0.7811258395746,-0.10363984832448
2020-08-26,2.62534889977083,3,2020,238,4.0377086847113,0.650207606534779,0.748181638644554,-0.0979740321097754
2020-08-31,2.60712029178931,3,2020,243,4.0377086847113,0.645693014372512,0.731763400530224,-0.0860703861577122
2020-09-10,2.42753518123462,3,2020,253,4.0377086847113,0.601216028889461,0.696652111955197,-0.0954360830657367
2020-09-15,2.26135200045248,3,2020,258,4.0377086847113,0.560058235259776,0.677109137439799,-0.117050902180023
2020-09-20,2.19435186002676,1,2020,263,4.0377086847113,0.543464630902082,0.655839286414714,-0.112374655512632
2020-09-30,2.22882688636076,3,2020,273,4.0377086847113,0.552002895800821,0.607759215104609,-0.0557563193037882
2020-10-30,1.4031824847989,2,2020,303,4.0377086847113,0.347519495428687,0.432437198353713,-0.0849177029250264
2021-04-23,1.51517336993256,3,2021,112,4.37523449012888,0.346306780436796,0.5033253830756,-0.157018602638805
2021-05-08,2.80316324720164,3,2021,127,4.37523449012888,0.640688688463659,0.718756963492756,-0.078068275029097
2021-06-02,4.35104486342173,3,2021,152,4.37523449012888,0.994471238796062,0.945381001510001,0.049090237286061
2021-06-07,4.3207894018071,3,2021,157,4.37523449012888,0.987556075349876,0.965745470940026,0.0218106044098503
2021-06-12,4.37523449012888,3,2021,162,4.37523449012888,1,0.977868027297782,0.0221319727022183
2021-07-02,4.19765056260837,3,2021,182,4.37523449012888,0.959411563443932,0.959342774530084,6.87889138487607e-05
2021-07-17,3.94630508452501,3,2021,197,4.37523449012888,0.90196424749997,0.903460497881504,-0.00149625038153378
2021-07-22,3.85170491720455,3,2021,202,4.37523449012888,0.880342510988729,0.882249252244483,-0.00190674125575396
2021-08-11,3.47881120147786,3,2021,222,4.37523449012888,0.795114229723349,0.802112556740725,-0.00699832701737635
2021-08-26,3.37091378608727,3,2021,237,4.37523449012888,0.770453285119346,0.751435465163895,0.0190178199554515
2021-08-31,3.18164864899052,3,2021,242,4.37523449012888,0.727195000900808,0.735080096981293,-0.0078850960804846
2021-09-05,3.18655136960955,3,2021,247,4.37523449012888,0.728315562697001,0.718215605828719,0.0100999568682819
2021-09-25,2.731526123015,1,2021,267,4.37523449012888,0.624315366222698,0.637493208225056,-0.0131778420023578
2021-09-30,2.57741552786778,2,2021,272,4.37523449012888,0.58909197522619,0.612893895589185,-0.0238019203629943
2022-05-28,4.5290228389207,3,2022,147,4.68360400777922,0.966995252245542,0.916440988110235,0.0505542641353064
2022-06-12,4.68360400777922,3,2022,162,4.68360400777922,1,0.977868027297782,0.0221319727022183
2022-07-02,4.38187329140923,3,2022,182,4.68360400777922,0.935577235848967,0.959342774530084,-0.0237655386811165
2022-07-12,4.29323015291088,3,2022,192,4.68360400777922,0.916650969163928,0.923985497058279,-0.00733452789435141
2022-07-17,4.14355860421527,3,2022,197,4.68360400777922,0.884694478297704,0.903460497881504,-0.0187660195837999
2022-08-06,3.47804466245623,3,2022,217,4.68360400777922,0.742600069664169,0.820739462470038,-0.0781393928058693
2022-08-16,3.68637487393652,3,2022,227,4.68360400777922,0.787080818065243,0.784533331732225,0.00254748633301838
2022-09-05,3.18804699427877,3,2022,247,4.68360400777922,0.680682437922504,0.718215605828719,-0.0375331679062152
2022-09-10,3.06857637010571,3,2022,252,4.68360400777922,0.65517417036303,0.700374798636687,-0.0452006282736575
2022-09-20,3.02936084698823,3,2022,262,4.68360400777922,0.646801232972861,0.660239191253301,-0.0134379582804404
2022-10-05,2.79017734401169,3,2022,277,4.68360400777922,0.595732973875963,0.586551653856769,0.00918132001919425
2022-10-15,2.28756841674576,3,2022,287,4.68360400777922,0.488420543868832,0.529624129424466,-0.0412035855556345
2023-04-08,1.31522929068378,3,2023,97,2.91495916972454,0.451199901646673,0.261081944256556,0.190117957390118
2023-04-18,1.44454414176706,3,2023,107,2.91495916972454,0.495562393041534,0.424097958593962,0.0714644344475716
2023-07-22,2.86278842580884,3,2023,202,2.91495916972454,0.982102410058583,0.882249252244483,0.0998531578141001
2023-07-27,2.91495916972454,3,2023,207,2.91495916972454,1,0.861062811071037,0.138937188928963
2023-08-11,2.81709917071177,3,2023,222,2.91495916972454,0.966428346568566,0.802112556740725,0.164315789827841
2023-08-21,2.62126862465868,3,2023,232,2.91495916972454,0.899247115322848,0.767768129207492,0.131478986115356
2023-09-20,2.58897143389067,2,2023,262,2.91495916972454,0.888167306348693,0.660239191253301,0.227928115095392
2023-09-25,2.23023391332231,3,2023,267,2.91495916972454,0.765099537752036,0.637493208225056,0.12760632952698
2023-09-30,2.18530465125524,3,2023,272,2.91495916972454,0.749686195934521,0.612893895589185,0.136792300345337
2023-10-05,2.12155918799634,3,2023,277,2.91495916972454,0.727817806174219,0.586551653856769,0.14126615231745
2023-10-10,2.06590286506735,3,2023,282,2.91495916972454,0.708724460542814,0.558691461494133,0.150032999048681
2024-04-12,1.33670385238718,3,2024,102,3.85430144173617,0.346808331572804,0.343021167362041,0.00378716421076297
2024-04-22,1.74087762772161,1,2024,112,3.85430144173617,0.45167137392799,0.5033253830756,-0.0516540091476101
2024-07-31,3.85430144173617,3,2024,212,3.85430144173617,1,0.840443300304974,0.159556699695026
2024-08-05,3.79761644445189,3,2024,217,3.85430144173617,0.9852930555274,0.820739462470038,0.164553593057362
2024-08-10,3.7174244042756,3,2024,222,3.85430144173617,0.964487199683346,0.802112556740725,0.162374642942621
2024-08-20,3.60762633469839,3,2024,232,3.85430144173617,0.936000048058862,0.767768129207492,0.168231918851371
2024-09-14,3.14138687864423,3,2024,257,3.85430144173617,0.815034040832363,0.681149602826252,0.133884438006111
2024-09-24,2.74153857506569,3,2024,267,3.85430144173617,0.711293243797447,0.637493208225056,0.0738000355723906
2024-09-29,2.58118116797667,1,2024,272,3.85430144173617,0.669688452497888,0.612893895589185,0.0567945569087038
2025-04-07,1.3206132081861,3,2025,96,4.86565298967416,0.271415411454267,0.244664001986995,0.0267514094672719
2025-04-09,1.3288048653809,3,2025,98,4.86565298967416,0.273098979356086,0.277497146216886,-0.00439816686080013
2025-04-29,2.37418290943568,3,2025,118,4.86565298967416,0.487947437779503,0.594389803115575,-0.106442365336073
2025-05-17,4.52459956875446,3,2025,136,4.86565298967416,0.929905930068693,0.823043389143348,0.106862540925345
2025-05-29,4.86565298967416,3,2025,148,4.86565298967416,1,0.922919848231704,0.0770801517682959
2025-06-18,4.69893971995043,3,2025,168,4.86565298967416,0.965736711993739,0.982439741838267,-0.0167030298445285
2025-06-21,4.73453404849618,3,2025,171,4.86565298967416,0.973052138848323,0.981074744716104,-0.00802260586778092
2025-06-28,4.59928335905524,3,2025,178,4.86565298967416,0.945255111454885,0.969888663875816,-0.0246335524209305
2025-07-01,4.59016162932078,3,2025,181,4.86565298967416,0.943380392942525,0.962219055827662,-0.0188386628851372
2025-07-16,4.21905446464983,3,2025,196,4.86565298967416,0.867109609666671,0.907645654429541,-0.0405360447628703
2025-08-07,3.92219860230148,3,2025,218,4.86565298967416,0.806099121870205,0.816925886650421,-0.010826764780215
2025-08-10,3.9706307029659,3,2025,221,4.86565298967416,0.816052996667114,0.805750189239564,0.01030280742755
2025-08-15,3.64918809496062,3,2025,226,4.86565298967416,0.749989385331196,0.787974034500064,-0.0379846491688687
2025-08-25,3.28216624163574,3,2025,236,4.86565298967416,0.674558224476987,0.754688515833574,-0.0801302913565868
2025-09-06,3.07976114308275,3,2025,248,4.86565298967416,0.6329594711375,0.714739659206821,-0.0817801880693207
2025-09-14,2.93392732915182,3,2025,256,4.86565298967416,0.602987376078437,0.685121948019458,-0.0821345719410211
2025-09-26,2.84588994850756,3,2025,268,4.86565298967416,0.584893734622481,0.632719888697544,-0.0478261540750633
2025-10-06,2.61663485463668,3,2025,278,4.86565298967416,0.537776709557726,0.581092137231555,-0.0433154276738287
2025-10-14,2.38077520611968,1,2025,286,4.86565298967416,0.489302301494196,0.535517411558182,-0.0462151100639861
